exited October 18, 2016 at 04:20PM 
entered October 19, 2016 at 07:43AM 
exited October 19, 2016 at 04:03PM 
entered October 20, 2016 at 07:48AM 
exited October 20, 2016 at 04:25PM 
entered October 21, 2016 at 07:40AM 
exited October 21, 2016 at 03:23PM 
entered October 24, 2016 at 07:36AM 
exited October 24, 2016 at 04:00PM 
entered October 25, 2016 at 07:40AM 
exited October 25, 2016 at 03:58PM 
entered October 27, 2016 at 07:40AM 
exited October 27, 2016 at 04:31PM 
entered November 02, 2016 at 07:40AM 
exited November 02, 2016 at 04:27PM 
entered November 03, 2016 at 07:40AM 
exited November 03, 2016 at 03:09PM 
entered November 04, 2016 at 07:42AM 
exited November 04, 2016 at 04:02PM 
entered November 07, 2016 at 07:36AM 
exited November 07, 2016 at 04:46PM 
entered November 08, 2016 at 07:39AM 
exited November 08, 2016 at 04:11PM 
entered November 09, 2016 at 07:41AM 
exited November 09, 2016 at 04:08PM 
entered November 10, 2016 at 07:41AM 
exited November 10, 2016 at 04:07PM 
entered November 11, 2016 at 07:36AM 
exited November 11, 2016 at 03:59PM 
entered November 14, 2016 at 07:38AM 
exited November 14, 2016 at 04:16PM 
entered November 15, 2016 at 07:49AM 
exited November 15, 2016 at 04:08PM 
entered November 16, 2016 at 07:40AM 
exited November 16, 2016 at 04:10PM 
entered November 17, 2016 at 07:43AM 
exited November 17, 2016 at 03:28PM 
entered November 18, 2016 at 07:45AM 
exited November 18, 2016 at 04:23PM 
entered November 21, 2016 at 07:39AM 
exited November 21, 2016 at 04:07PM 
entered November 22, 2016 at 07:47AM 
exited November 22, 2016 at 03:55PM 
entered November 23, 2016 at 07:53AM 
exited November 23, 2016 at 04:03PM 
entered November 24, 2016 at 07:42AM 
exited November 24, 2016 at 04:03PM 
entered November 25, 2016 at 07:37AM 
exited November 25, 2016 at 04:10PM 
entered November 28, 2016 at 07:41AM 
exited November 28, 2016 at 03:59PM 
entered November 29, 2016 at 07:48AM 
exited November 29, 2016 at 04:13PM 
entered November 30, 2016 at 07:41AM 
exited November 30, 2016 at 03:52PM 
entered December 01, 2016 at 07:37AM 
exited December 01, 2016 at 04:17PM 
entered December 02, 2016 at 07:55AM 
exited December 02, 2016 at 03:50PM 
entered December 05, 2016 at 07:43AM 
exited December 05, 2016 at 04:08PM 
entered December 06, 2016 at 07:51AM 
exited December 06, 2016 at 03:58PM 
entered December 07, 2016 at 07:45AM 
exited December 07, 2016 at 04:49PM 
entered December 08, 2016 at 07:45AM 
exited December 08, 2016 at 03:57PM 
entered December 09, 2016 at 07:38AM 
exited December 09, 2016 at 04:12PM 
entered December 15, 2016 at 07:37AM 
exited December 15, 2016 at 03:58PM 
entered December 16, 2016 at 07:41AM 
exited December 16, 2016 at 04:03PM 
entered December 19, 2016 at 07:36AM 
exited December 19, 2016 at 04:26PM 
entered December 20, 2016 at 07:35AM 
exited December 20, 2016 at 04:17PM 
entered December 21, 2016 at 07:46AM 
exited December 21, 2016 at 04:40PM 
entered December 22, 2016 at 07:43AM 
exited December 22, 2016 at 04:15PM 
entered December 23, 2016 at 07:35AM 
exited December 23, 2016 at 03:14PM 
entered December 30, 2016 at 07:36AM 
exited December 30, 2016 at 04:17PM 
entered January 03, 2017 at 07:39AM 
exited January 03, 2017 at 04:06PM 
entered January 04, 2017 at 07:39AM 
exited January 04, 2017 at 05:14PM 
entered January 05, 2017 at 07:39AM 
